name,survived,female,age,sibsp,parch,pclass,ticket,fare,cabin,embarked,boat,body,home_dest
"Aronsson, Mr. Ernst Axel Algot",0,0,24,0,0,Third,349911,7.7750,,S,,,"Sweden / Joliet, IL"
"Artagaveytia, Mr. Ramon",0,0,71,0,0,First,PC 17609,49.5042,,C,,22,"Montevideo, Uruguay"
"Ashby, Mr. John",0,0,57,0,0,Second,244346,13.0000,,S,,,"West Hoboken, NJ"
"Asim, Mr. Adola",0,0,35,0,0,Third,SOTON/O.Q. 3101310,7.0500,,S,,,
"Asplund, Master. Carl Edgar",0,0,5,4,2,Third,347077,31.3875,,S,,,"Sweden / Worcester, MA"
"Asplund, Master. Clarence Gustaf Hugo",0,0,9,4,2,Third,347077,31.3875,,S,,,"Sweden / Worcester, MA"
"Asplund, Master. Edvin Rojj Felix",1,0,3,4,2,Third,347077,31.3875,,S,15,,"Sweden / Worcester, MA"
"Asplund, Master. Filip Oscar",0,0,13,4,2,Third,347077,31.3875,,S,,,"Sweden / Worcester, MA"
"Asplund, Miss. Lillian Gertrud",1,1,5,4,2,Third,347077,31.3875,,S,15,,"Sweden / Worcester, MA"
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",0,0,40,1,5,Third,347077,31.3875,,S,,142,"Sweden / Worcester, MA"
"Asplund, Mr. Johan Charles",1,0,23,0,0,Third,350054,7.7958,,S,13,,"Oskarshamn, Sweden / Minneapolis, MN"
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,1,38,1,5,Third,347077,31.3875,,S,15,,"Sweden / Worcester, MA"
"Assaf Khalil, Mrs. Mariana (""Miriam"")",1,1,45,0,0,Third,2696,7.2250,,C,C,,"Ottawa, ON"
"Assaf, Mr. Gerios",0,0,21,0,0,Third,2692,7.2250,,C,,,"Ottawa, ON"
"Assam, Mr. Ali",0,0,23,0,0,Third,SOTON/O.Q. 3101309,7.0500,,S,,,
"Astor, Col. John Jacob",0,0,47,1,0,First,PC 17757,227.5250,C62 C64,C,,124,"New York, NY"
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,1,18,1,0,First,PC 17757,227.5250,C62 C64,C,4,,"New York, NY"
"Attalah, Miss. Malake",0,1,17,0,0,Third,2627,14.4583,,C,,,
"Attalah, Mr. Sleiman",0,0,30,0,0,Third,2694,7.2250,,C,,,"Ottawa, ON"
"Aubart, Mme. Leontine Pauline",1,1,24,0,0,First,PC 17477,69.3000,B35,C,9,,"Paris, France"
"Augustsson, Mr. Albert",0,0,23,0,0,Third,347468,7.8542,,S,,,"Krakoryd, Sweden / Bloomington, IL"
"Ayoub, Miss. Banoura",1,1,13,0,0,Third,2687,7.2292,,C,C,,"Syria / Youngstown, OH"
"Baccos, Mr. Raffull",0,0,20,0,0,Third,2679,7.2250,,C,,,
"Backstrom, Mr. Karl Alfred",0,0,32,1,0,Third,3101278,15.8500,,S,D,,"Ruotsinphytaa, Finland / New York, NY"
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,1,33,3,0,Third,3101278,15.8500,,S,,,"Ruotsinphytaa, Finland / New York, NY"
"Baclini, Miss. Eugenie",1,1,0.75,2,1,Third,2666,19.2583,,C,C,,"Syria / New York, NY"
"Baclini, Miss. Helene Barbara",1,1,0.75,2,1,Third,2666,19.2583,,C,C,,"Syria / New York, NY"
"Baclini, Miss. Marie Catherine",1,1,5,2,1,Third,2666,19.2583,,C,C,,"Syria / New York, NY"
"Baclini, Mrs. Solomon (Latifa Qurban)",1,1,24,0,3,Third,2666,19.2583,,C,C,,"Syria / New York, NY"
"Badman, Miss. Emily Louisa",1,1,18,0,0,Third,A/4 31416,8.0500,,S,C,,"London / Skanteales, NY"
"Badt, Mr. Mohamed",0,0,40,0,0,Third,2623,7.2250,,C,,,
"Bailey, Mr. Percy Andrew",0,0,18,0,0,Second,29108,11.5000,,S,,,"Penzance, Cornwall / Akron, OH"
"Baimbrigge, Mr. Charles Robert",0,0,23,0,0,Second,C.A. 31030,10.5000,,S,,,Guernsey
"Balkic, Mr. Cerin",0,0,26,0,0,Third,349248,7.8958,,S,,,
"Ball, Mrs. (Ada E Hall)",1,1,36,0,0,Second,28551,13.0000,D,S,10,,"Bristol, Avon / Jacksonville, FL"
"Banfield, Mr. Frederick James",0,0,28,0,0,Second,C.A./SOTON 34068,10.5000,,S,,,"Plymouth, Dorset / Houghton, MI"
"Barah, Mr. Hanna Assi",1,0,20,0,0,Third,2663,7.2292,,C,15,,
"Barbara, Miss. Saiide",0,1,18,0,1,Third,2691,14.4542,,C,,,"Syria / Ottawa, ON"
"Barbara, Mrs. (Catherine David)",0,1,45,0,1,Third,2691,14.4542,,C,,,"Syria / Ottawa, ON"
"Barber, Miss. Ellen ""Nellie""",1,1,26,0,0,First,19877,78.8500,,S,6,,
"Barkworth, Mr. Algernon Henry Wilson",1,0,80,0,0,First,27042,30.0000,A23,S,B,,"Hessle, Yorks"
"Barry, Miss. Julia",0,1,27,0,0,Third,330844,7.8792,,Q,,,"New York, NY"
"Barton, Mr. David John",0,0,22,0,0,Third,324669,8.0500,,S,,,"England / New York, NY"
"Bateman, Rev. Robert James",0,0,51,0,0,Second,S.O.P. 1166,12.5250,,S,,174,"Jacksonville, FL"
"Baumann, Mr. John D",0,0,,0,0,First,PC 17318,25.9250,,S,,,"New York, NY"
"Baxter, Mr. Quigg Edmond",0,0,24,0,1,First,PC 17558,247.5208,B58 B60,C,,,"Montreal, PQ"
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,1,50,0,1,First,PC 17558,247.5208,B58 B60,C,6,,"Montreal, PQ"
"Bazzani, Miss. Albina",1,1,32,0,0,First,11813,76.2917,D15,C,8,,
"Beane, Mr. Edward",1,0,32,1,0,Second,2908,26.0000,,S,13,,"Norwich / New York, NY"
"Beane, Mrs. Edward (Ethel Clarke)",1,1,19,1,0,Second,2908,26.0000,,S,13,,"Norwich / New York, NY"
"Beattie, Mr. Thomson",0,0,36,0,0,First,13050,75.2417,C6,C,A,,"Winnipeg, MB"
"Beauchamp, Mr. Henry James",0,0,28,0,0,Second,244358,26.0000,,S,,,England
"Beavan, Mr. William Thomas",0,0,19,0,0,Third,323951,8.0500,,S,,,England
"Becker, Master. Richard F",1,0,1,2,1,Second,230136,39.0000,F4,S,11,,"Guntur, India / Benton Harbour, MI"
"Becker, Miss. Marion Louise",1,1,4,2,1,Second,230136,39.0000,F4,S,11,,"Guntur, India / Benton Harbour, MI"
"Becker, Miss. Ruth Elizabeth",1,1,12,2,1,Second,230136,39.0000,F4,S,13,,"Guntur, India / Benton Harbour, MI"
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",1,1,36,0,3,Second,230136,39.0000,F4,S,11,,"Guntur, India / Benton Harbour, MI"
"Beckwith, Mr. Richard Leonard",1,0,37,1,1,First,11751,52.5542,D35,S,5,,"New York, NY"
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,1,47,1,1,First,11751,52.5542,D35,S,5,,"New York, NY"
"Beesley, Mr. Lawrence",1,0,34,0,0,Second,248698,13.0000,D56,S,13,,London
"Behr, Mr. Karl Howell",1,0,26,0,0,First,111369,30.0000,C148,C,5,,"New York, NY"
"Bengtsson, Mr. John Viktor",0,0,26,0,0,Third,347068,7.7750,,S,,,"Krakudden, Sweden / Moune, IL"
"Bentham, Miss. Lilian W",1,1,19,0,0,Second,28404,13.0000,,S,12,,"Rochester, NY"
"Berglund, Mr. Karl Ivar Sven",0,0,22,0,0,Third,PP 4348,9.3500,,S,,,"Tranvik, Finland / New York"
"Berriman, Mr. William John",0,0,23,0,0,Second,28425,13.0000,,S,,,"St Ives, Cornwall / Calumet, MI"
"Betros, Master. Seman",0,0,,0,0,Third,2622,7.2292,,C,,,
"Betros, Mr. Tannous",0,0,20,0,0,Third,2648,4.0125,,C,,,Syria
"Bidois, Miss. Rosalie",1,1,42,0,0,First,PC 17757,227.5250,,C,4,,
"Bing, Mr. Lee",1,0,32,0,0,Third,1601,56.4958,,S,C,,"Hong Kong / New York, NY"
"Bird, Miss. Ellen",1,1,29,0,0,First,PC 17483,221.7792,C97,S,8,,
"Birkeland, Mr. Hans Martin Monsen",0,0,21,0,0,Third,312992,7.7750,,S,,,"Brennes, Norway / New York"
"Birnbaum, Mr. Jakob",0,0,25,0,0,First,13905,26.0000,,C,,148,"San Francisco, CA"
"Bishop, Mr. Dickinson H",1,0,25,1,0,First,11967,91.0792,B49,C,7,,"Dowagiac, MI"
"Bishop, Mrs. Dickinson H (Helen Walton)",1,1,19,1,0,First,11967,91.0792,B49,C,7,,"Dowagiac, MI"
"Bissette, Miss. Amelia",1,1,35,0,0,First,PC 17760,135.6333,C99,S,8,,
"Bjorklund, Mr. Ernst Herbert",0,0,18,0,0,Third,347090,7.7500,,S,,,"Stockholm, Sweden / New York"
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,0,28,0,0,First,110564,26.5500,C52,S,D,,"Stockholm, Sweden / Washington, DC"
"Blackwell, Mr. Stephen Weart",0,0,45,0,0,First,113784,35.5000,T,S,,,"Trenton, NJ"
"Blank, Mr. Henry",1,0,40,0,0,First,112277,31.0000,A31,C,7,,"Glen Ridge, NJ"
"Bonnell, Miss. Caroline",1,1,30,0,0,First,36928,164.8667,C7,S,8,,"Youngstown, OH"
"Bonnell, Miss. Elizabeth",1,1,58,0,0,First,113783,26.5500,C103,S,8,,"Birkdale, England / Cleveland, Ohio"
"Borebank, Mr. John James",0,0,42,0,0,First,110489,26.5500,D22,S,,,"London / Winnipeg, MB"
"Bostandyeff, Mr. Guentcho",0,0,26,0,0,Third,349224,7.8958,,S,,,"Bulgaria / Chicago, IL"
"Botsford, Mr. William Hull",0,0,26,0,0,Second,237670,13.0000,,S,,,"Elmira, NY / Orange, NJ"
"Boulos, Master. Akar",0,0,6,1,1,Third,2678,15.2458,,C,,,"Syria / Kent, ON"
"Boulos, Miss. Nourelain",0,1,9,1,1,Third,2678,15.2458,,C,,,"Syria / Kent, ON"
"Boulos, Mr. Hanna",0,0,,0,0,Third,2664,7.2250,,C,,,Syria
"Boulos, Mrs. Joseph (Sultana)",0,1,,0,2,Third,2678,15.2458,,C,,,"Syria / Kent, ON"
"Bourke, Miss. Mary",0,1,,0,2,Third,364848,7.7500,,Q,,,"Ireland / Chicago, IL"
"Bourke, Mr. John",0,0,40,1,1,Third,364849,15.5000,,Q,,,"Ireland / Chicago, IL"
"Bourke, Mrs. John (Catherine)",0,1,32,1,1,Third,364849,15.5000,,Q,,,"Ireland / Chicago, IL"
"Bowen, Miss. Grace Scott",1,1,45,0,0,First,PC 17608,262.3750,,C,4,,"Cooperstown, NY"
"Bowen, Mr. David John ""Dai""",0,0,21,0,0,Third,54636,16.1000,,S,,,"Treherbert, Cardiff, Wales"
"Bowenur, Mr. Solomon",0,0,42,0,0,Second,211535,13.0000,,S,,,London
"Bowerman, Miss. Elsie Edith",1,1,22,0,1,First,113505,55.0000,E33,S,6,,"St Leonards-on-Sea, England / Ohio"
"Bracken, Mr. James H",0,0,27,0,0,Second,220367,13.0000,,S,,,"Lake Arthur, Chavez County, NM"
"Bradley, Miss. Bridget Delia",1,1,22,0,0,Third,334914,7.7250,,Q,13,,"Kingwilliamstown, Co Cork, Ireland / Glens Falls, NY"
"Bradley, Mr. George (""George Arthur Brayton"")",1,0,,0,0,First,111427,26.5500,,S,9,,"Los Angeles, CA"
"Brady, Mr. John Bertram",0,0,41,0,0,First,113054,30.5000,A21,S,,,"Pomeroy, WA"
"Braf, Miss. Elin Ester Maria",0,1,20,0,0,Third,347471,7.8542,,S,,,"Medeltorp, Sweden / Chicago, IL"
"Brandeis, Mr. Emil",0,0,48,0,0,First,PC 17591,50.4958,B10,C,,208,"Omaha, NE"
"Braund, Mr. Lewis Richard",0,0,29,1,0,Third,3460,7.0458,,S,,,"Bridgerule, Devon"
"Braund, Mr. Owen Harris",0,0,22,1,0,Third,A/5 21171,7.2500,,S,,,"Bridgerule, Devon"
"Brewe, Dr. Arthur Jackson",0,0,,0,0,First,112379,39.6000,,C,,,"Philadelphia, PA"
"Brobeck, Mr. Karl Rudolf",0,0,22,0,0,Third,350045,7.7958,,S,,,"Sweden / Worcester, MA"
"Brocklebank, Mr. William Alfred",0,0,35,0,0,Third,364512,8.0500,,S,,,"Broomfield, Chelmsford, England"
"Brown, Miss. Amelia ""Mildred""",1,1,24,0,0,Second,248733,13.0000,F33,S,11,,"London / Montreal, PQ"
"Brown, Miss. Edith Eileen",1,1,15,0,2,Second,29750,39.0000,,S,14,,"Cape Town, South Africa / Seattle, WA"
"Brown, Mr. Thomas William Solomon",0,0,60,1,1,Second,29750,39.0000,,S,,,"Cape Town, South Africa / Seattle, WA"
"Brown, Mrs. James Joseph (Margaret Tobin)",1,1,44,0,0,First,PC 17610,27.7208,B4,C,6,,"Denver, CO"
"Brown, Mrs. John Murray (Caroline Lane Lamson)",1,1,59,2,0,First,11769,51.4792,C101,S,D,,"Belmont, MA"
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,40,1,1,Second,29750,39.0000,,S,14,,"Cape Town, South Africa / Seattle, WA"
"Bryhl, Miss. Dagmar Jenny Ingeborg ",1,1,20,1,0,Second,236853,26.0000,,S,12,,"Skara, Sweden / Rockford, IL"
"Bryhl, Mr. Kurt Arnold Gottfrid",0,0,25,1,0,Second,236853,26.0000,,S,,,"Skara, Sweden / Rockford, IL"
"Buckley, Miss. Katherine",0,1,18.5,0,0,Third,329944,7.2833,,Q,,299,"Co Cork, Ireland / Roxbury, MA"
"Buckley, Mr. Daniel",1,0,21,0,0,Third,330920,7.8208,,Q,13,,"Kingwilliamstown, Co Cork, Ireland / New York, NY"
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",1,1,60,0,0,First,11813,76.2917,D15,C,8,,"Philadelphia, PA"
"Burke, Mr. Jeremiah",0,0,19,0,0,Third,365222,6.7500,,Q,,,"Co Cork, Ireland / Charlestown, MA"
"Burns, Miss. Elizabeth Margaret",1,1,41,0,0,First,16966,134.5000,E40,C,3,,
"Burns, Miss. Mary Delia",0,1,18,0,0,Third,330963,7.8792,,Q,,,"Co Sligo, Ireland / New York, NY"
"Buss, Miss. Kate",1,1,36,0,0,Second,27849,13.0000,,S,9,,"Sittingbourne, England / San Diego, CA"
"Butler, Mr. Reginald Fenton",0,0,25,0,0,Second,234686,13.0000,,S,,97,"Southsea, Hants"
"Butt, Major. Archibald Willingham",0,0,45,0,0,First,113050,26.5500,B38,S,,,"Washington, DC"
"Byles, Rev. Thomas Roussel Davids",0,0,42,0,0,Second,244310,13.0000,,S,,,London
"Bystrom, Mrs. (Karolina)",1,1,42,0,0,Second,236852,13.0000,,S,,,"New York, NY"
"Cacic, Miss. Manda",0,1,21,0,0,Third,315087,8.6625,,S,,,
"Cacic, Miss. Marija",0,1,30,0,0,Third,315084,8.6625,,S,,,
"Cacic, Mr. Jego Grga",0,0,18,0,0,Third,315091,8.6625,,S,,,
"Cacic, Mr. Luka",0,0,38,0,0,Third,315089,8.6625,,S,,,Croatia
"Cairns, Mr. Alexander",0,0,,0,0,First,113798,31.0000,,S,,,
"Calderhead, Mr. Edward Pennington",1,0,42,0,0,First,PC 17476,26.2875,E24,S,5,,"New York, NY"
"Caldwell, Master. Alden Gates",1,0,0.8333,0,2,Second,248738,29.0000,,S,13,,"Bangkok, Thailand / Roseville, IL"
"Caldwell, Mr. Albert Francis",1,0,26,1,1,Second,248738,29.0000,,S,13,,"Bangkok, Thailand / Roseville, IL"
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",1,1,22,1,1,Second,248738,29.0000,,S,13,,"Bangkok, Thailand / Roseville, IL"
"Calic, Mr. Jovo",0,0,17,0,0,Third,315093,8.6625,,S,,,
"Calic, Mr. Petar",0,0,17,0,0,Third,315086,8.6625,,S,,,
"Cameron, Miss. Clear Annie",1,1,35,0,0,Second,F.C.C. 13528,21.0000,,S,14,,"Mamaroneck, NY"
"Campbell, Mr. William",0,0,,0,0,Second,239853,0.0000,,S,,,Belfast
"Canavan, Miss. Mary",0,1,21,0,0,Third,364846,7.7500,,Q,,,
"Canavan, Mr. Patrick",0,0,21,0,0,Third,364858,7.7500,,Q,,,"Ireland / Philadelphia, PA"
"Candee, Mrs. Edward (Helen Churchill Hungerford)",1,1,53,0,0,First,PC 17606,27.4458,,C,6,,"Washington, DC"
"Cann, Mr. Ernest Charles",0,0,21,0,0,Third,A./5. 2152,8.0500,,S,,,
"Caram, Mr. Joseph",0,0,,1,0,Third,2689,14.4583,,C,,,"Ottawa, ON"
"Caram, Mrs. Joseph (Maria Elias)",0,1,,1,0,Third,2689,14.4583,,C,,,"Ottawa, ON"
"Carbines, Mr. William",0,0,19,0,0,Second,28424,13.0000,,S,,18,"St Ives, Cornwall / Calumet, MI"
"Cardeza, Mr. Thomas Drake Martinez",1,0,36,0,1,First,PC 17755,512.3292,B51 B53 B55,C,3,,"Austria-Hungary / Germantown, Philadelphia, PA"
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",1,1,58,0,1,First,PC 17755,512.3292,B51 B53 B55,C,3,,"Germantown, Philadelphia, PA"
"Carlsson, Mr. August Sigfrid",0,0,28,0,0,Third,350042,7.7958,,S,,,"Dagsas, Sweden / Fower, MN"
"Carlsson, Mr. Carl Robert",0,0,24,0,0,Third,350409,7.8542,,S,,,"Goteborg, Sweden / Huntley, IL"
"Carlsson, Mr. Frans Olof",0,0,33,0,0,First,695,5.0000,B51 B53 B55,S,,,"New York, NY"
"Carr, Miss. Helen ""Ellen""",1,1,16,0,0,Third,367231,7.7500,,Q,16,,"Co Longford, Ireland / New York, NY"
"Carr, Miss. Jeannie",0,1,37,0,0,Third,368364,7.7500,,Q,,,"Co Sligo, Ireland / Hartford, CT"
"Carrau, Mr. Francisco M",0,0,28,0,0,First,113059,47.1000,,S,,,"Montevideo, Uruguay"
"Carrau, Mr. Jose Pedro",0,0,17,0,0,First,113059,47.1000,,S,,,"Montevideo, Uruguay"
"Carter, Master. William Thornton II",1,0,11,1,2,First,113760,120.0000,B96 B98,S,4,,"Bryn Mawr, PA"
"Carter, Miss. Lucile Polk",1,1,14,1,2,First,113760,120.0000,B96 B98,S,4,,"Bryn Mawr, PA"
"Carter, Mr. William Ernest",1,0,36,1,2,First,113760,120.0000,B96 B98,S,C,,"Bryn Mawr, PA"
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",0,1,44,1,0,Second,244252,26.0000,,S,,,London
"Carter, Mrs. William Ernest (Lucile Polk)",1,1,36,1,2,First,113760,120.0000,B96 B98,S,4,,"Bryn Mawr, PA"
"Carter, Rev. Ernest Courtenay",0,0,54,1,0,Second,244252,26.0000,,S,,,London
"Carver, Mr. Alfred John",0,0,28,0,0,Third,392095,7.2500,,S,,,"St Denys, Southampton, Hants"
"Case, Mr. Howard Brown",0,0,49,0,0,First,19924,26.0000,,S,,,"Ascot, Berkshire / Rochester, NY"
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",1,1,,0,0,First,17770,27.7208,,C,5,,"New York, NY"
"Cavendish, Mr. Tyrell William",0,0,36,1,0,First,19877,78.8500,C46,S,,172,"Little Onn Hall, Staffs"
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",1,1,76,1,0,First,19877,78.8500,C46,S,6,,"Little Onn Hall, Staffs"
"Celotti, Mr. Francesco",0,0,24,0,0,Third,343275,8.0500,,S,,,London
"Chaffee, Mr. Herbert Fuller",0,0,46,1,0,First,W.E.P. 5734,61.1750,E31,S,,,"Amenia, ND"
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1,1,47,1,0,First,W.E.P. 5734,61.1750,E31,S,4,,"Amenia, ND"
"Chambers, Mr. Norman Campbell",1,0,27,1,0,First,113806,53.1000,E8,S,5,,"New York, NY / Ithaca, NY"
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,33,1,0,First,113806,53.1000,E8,S,5,,"New York, NY / Ithaca, NY"
"Chapman, Mr. Charles Henry",0,0,52,0,0,Second,248731,13.5000,,S,,130,"Bronx, NY"
"Chapman, Mr. John Henry",0,0,37,1,0,Second,SC/AH 29037,26.0000,,S,,17,"Cornwall / Spokane, WA"
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",0,1,29,1,0,Second,SC/AH 29037,26.0000,,S,,,"Cornwall / Spokane, WA"
"Charters, Mr. David",0,0,21,0,0,Third,A/5. 13032,7.7333,,Q,,,"Ireland / New York, NY"
"Chaudanson, Miss. Victorine",1,1,36,0,0,First,PC 17608,262.3750,B61,C,4,,
"Cherry, Miss. Gladys",1,1,30,0,0,First,110152,86.5000,B77,S,8,,"London, England"
"Chevre, Mr. Paul Romaine",1,0,45,0,0,First,PC 17594,29.7000,A9,C,7,,"Paris, France"
"Chibnall, Mrs. (Edith Martha Bowerman)",1,1,,0,1,First,113505,55.0000,E33,S,6,,"St Leonards-on-Sea, England / Ohio"
